id;name;url;difficulty;category;is_premium
17;Letter Combinations of a Phone Number;https://leetcode.com/problems/letter-combinations-of-a-phone-number;Medium;Backtracking;false
22;Generate Parentheses;https://leetcode.com/problems/generate-parentheses;Medium;Backtracking;false
37;Sudoku Solver;https://leetcode.com/problems/sudoku-solver;Hard;Backtracking;false
39;Combination Sum;https://leetcode.com/problems/combination-sum;Medium;Backtracking;false
40;Combination Sum II;https://leetcode.com/problems/combination-sum-ii;Medium;Backtracking;false
46;Permutations;https://leetcode.com/problems/permutations;Medium;Backtracking;false
47;Permutations II;https://leetcode.com/problems/permutations-ii;Medium;Backtracking;false
51;N-Queens;https://leetcode.com/problems/n-queens;Hard;Backtracking;false
52;N-Queens II;https://leetcode.com/problems/n-queens-ii;Hard;Backtracking;false
77;Combinations;https://leetcode.com/problems/combinations;Medium;Backtracking;false
78;Subsets;https://leetcode.com/problems/subsets;Medium;Backtracking;false
79;Word Search;https://leetcode.com/problems/word-search;Medium;Backtracking;false
89;Gray Code;https://leetcode.com/problems/gray-code;Medium;Backtracking;false
90;Subsets II;https://leetcode.com/problems/subsets-ii;Medium;Backtracking;false
93;Restore IP Addresses;https://leetcode.com/problems/restore-ip-addresses;Medium;Backtracking;false
95;Unique Binary Search Trees II;https://leetcode.com/problems/unique-binary-search-trees-ii;Medium;Backtracking;false
113;Path Sum II;https://leetcode.com/problems/path-sum-ii;Medium;Backtracking;false
126;Word Ladder II;https://leetcode.com/problems/word-ladder-ii;Hard;Backtracking;false
131;Palindrome Partitioning;https://leetcode.com/problems/palindrome-partitioning;Medium;Backtracking;false
140;Word Break II;https://leetcode.com/problems/word-break-ii;Hard;Backtracking;false
212;Word Search II;https://leetcode.com/problems/word-search-ii;Hard;Backtracking;false
216;Combination Sum III;https://leetcode.com/problems/combination-sum-iii;Medium;Backtracking;false
254;Factor Combinations;https://leetcode.com/problems/factor-combinations;Medium;Backtracking;true
257;Binary Tree Paths;https://leetcode.com/problems/binary-tree-paths;Easy;Backtracking;false
267;Palindrome Permutation II;https://leetcode.com/problems/palindrome-permutation-ii;Medium;Backtracking;true
282;Expression Add Operators;https://leetcode.com/problems/expression-add-operators;Hard;Backtracking;false
291;Word Pattern II;https://leetcode.com/problems/word-pattern-ii;Medium;Backtracking;true
294;Flip Game II;https://leetcode.com/problems/flip-game-ii;Medium;Backtracking;true
301;Remove Invalid Parentheses;https://leetcode.com/problems/remove-invalid-parentheses;Hard;Backtracking;false
306;Additive Number;https://leetcode.com/problems/additive-number;Medium;Backtracking;false
320;Generalized Abbreviation;https://leetcode.com/problems/generalized-abbreviation;Medium;Backtracking;true
351;Android Unlock Patterns;https://leetcode.com/problems/android-unlock-patterns;Medium;Backtracking;true
357;Count Numbers with Unique Digits;https://leetcode.com/problems/count-numbers-with-unique-digits;Medium;Backtracking;false
401;Binary Watch;https://leetcode.com/problems/binary-watch;Easy;Backtracking;false
411;Minimum Unique Word Abbreviation;https://leetcode.com/problems/minimum-unique-word-abbreviation;Hard;Backtracking;true
425;Word Squares;https://leetcode.com/problems/word-squares;Hard;Backtracking;true
465;Optimal Account Balancing;https://leetcode.com/problems/optimal-account-balancing;Hard;Backtracking;true
473;Matchsticks to Square;https://leetcode.com/problems/matchsticks-to-square;Medium;Backtracking;false
489;Robot Room Cleaner;https://leetcode.com/problems/robot-room-cleaner;Hard;Backtracking;true
491;Non-decreasing Subsequences;https://leetcode.com/problems/non-decreasing-subsequences;Medium;Backtracking;false
494;Target Sum;https://leetcode.com/problems/target-sum;Medium;Backtracking;false
526;Beautiful Arrangement;https://leetcode.com/problems/beautiful-arrangement;Medium;Backtracking;false
638;Shopping Offers;https://leetcode.com/problems/shopping-offers;Medium;Backtracking;false
679;24 Game;https://leetcode.com/problems/24-game;Hard;Backtracking;false
681;Next Closest Time;https://leetcode.com/problems/next-closest-time;Medium;Backtracking;true
691;Stickers to Spell Word;https://leetcode.com/problems/stickers-to-spell-word;Hard;Backtracking;false
698;Partition to K Equal Sum Subsets;https://leetcode.com/problems/partition-to-k-equal-sum-subsets;Medium;Backtracking;false
773;Sliding Puzzle;https://leetcode.com/problems/sliding-puzzle;Hard;Backtracking;false
784;Letter Case Permutation;https://leetcode.com/problems/letter-case-permutation;Medium;Backtracking;false
797;All Paths From Source to Target;https://leetcode.com/problems/all-paths-from-source-to-target;Medium;Backtracking;false
816;Ambiguous Coordinates;https://leetcode.com/problems/ambiguous-coordinates;Medium;Backtracking;false
842;Split Array into Fibonacci Sequence;https://leetcode.com/problems/split-array-into-fibonacci-sequence;Medium;Backtracking;false
949;Largest Time for Given Digits;https://leetcode.com/problems/largest-time-for-given-digits;Medium;Backtracking;false
967;Numbers With Same Consecutive Differences;https://leetcode.com/problems/numbers-with-same-consecutive-differences;Medium;Backtracking;false
980;Unique Paths III;https://leetcode.com/problems/unique-paths-iii;Hard;Backtracking;false
988;Smallest String Starting From Leaf;https://leetcode.com/problems/smallest-string-starting-from-leaf;Medium;Backtracking;false
