id;name;url;difficulty;category;is_premium
4;Median of Two Sorted Arrays;https://leetcode.com/problems/median-of-two-sorted-arrays;Hard;Binary Search;false
33;Search in Rotated Sorted Array;https://leetcode.com/problems/search-in-rotated-sorted-array;Medium;Binary Search;false
34;Find First and Last Position of Element in Sorted Array;https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array;Medium;Binary Search;false
35;Search Insert Position;https://leetcode.com/problems/search-insert-position;Easy;Binary Search;false
69;Sqrt(x);https://leetcode.com/problems/sqrtx;Easy;Binary Search;false
74;Search a 2D Matrix;https://leetcode.com/problems/search-a-2d-matrix;Medium;Binary Search;false
81;Search in Rotated Sorted Array II;https://leetcode.com/problems/search-in-rotated-sorted-array-ii;Medium;Binary Search;false
153;Find Minimum in Rotated Sorted Array;https://leetcode.com/problems/find-minimum-in-rotated-sorted-array;Medium;Binary Search;false
154;Find Minimum in Rotated Sorted Array II;https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii;Hard;Binary Search;false
162;Find Peak Element;https://leetcode.com/problems/find-peak-element;Medium;Binary Search;false
167;Two Sum II - Input Array Is Sorted;https://leetcode.com/problems/two-sum-ii-input-array-is-sorted;Medium;Binary Search;false
209;Minimum Size Subarray Sum;https://leetcode.com/problems/minimum-size-subarray-sum;Medium;Binary Search;false
222;Count Complete Tree Nodes;https://leetcode.com/problems/count-complete-tree-nodes;Easy;Binary Search;false
240;Search a 2D Matrix II;https://leetcode.com/problems/search-a-2d-matrix-ii;Medium;Binary Search;false
259;3Sum Smaller;https://leetcode.com/problems/3sum-smaller;Medium;Binary Search;true
268;Missing Number;https://leetcode.com/problems/missing-number;Easy;Binary Search;false
270;Closest Binary Search Tree Value;https://leetcode.com/problems/closest-binary-search-tree-value;Easy;Binary Search;true
275;H-Index II;https://leetcode.com/problems/h-index-ii;Medium;Binary Search;false
278;First Bad Version;https://leetcode.com/problems/first-bad-version;Easy;Binary Search;false
287;Find the Duplicate Number;https://leetcode.com/problems/find-the-duplicate-number;Medium;Binary Search;false
300;Longest Increasing Subsequence;https://leetcode.com/problems/longest-increasing-subsequence;Medium;Binary Search;false
302;Smallest Rectangle Enclosing Black Pixels;https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels;Hard;Binary Search;true
315;Count of Smaller Numbers After Self;https://leetcode.com/problems/count-of-smaller-numbers-after-self;Hard;Binary Search;false
327;Count of Range Sum;https://leetcode.com/problems/count-of-range-sum;Hard;Binary Search;false
349;Intersection of Two Arrays;https://leetcode.com/problems/intersection-of-two-arrays;Easy;Binary Search;false
350;Intersection of Two Arrays II;https://leetcode.com/problems/intersection-of-two-arrays-ii;Easy;Binary Search;false
352;Data Stream as Disjoint Intervals;https://leetcode.com/problems/data-stream-as-disjoint-intervals;Hard;Binary Search;false
354;Russian Doll Envelopes;https://leetcode.com/problems/russian-doll-envelopes;Hard;Binary Search;false
362;Design Hit Counter;https://leetcode.com/problems/design-hit-counter;Medium;Binary Search;true
363;Max Sum of Rectangle No Larger Than K;https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k;Hard;Binary Search;false
367;Valid Perfect Square;https://leetcode.com/problems/valid-perfect-square;Easy;Binary Search;false
374;Guess Number Higher or Lower;https://leetcode.com/problems/guess-number-higher-or-lower;Easy;Binary Search;false
378;Kth Smallest Element in a Sorted Matrix;https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix;Medium;Binary Search;false
400;Nth Digit;https://leetcode.com/problems/nth-digit;Medium;Binary Search;false
410;Split Array Largest Sum;https://leetcode.com/problems/split-array-largest-sum;Hard;Binary Search;false
436;Find Right Interval;https://leetcode.com/problems/find-right-interval;Medium;Binary Search;false
441;Arranging Coins;https://leetcode.com/problems/arranging-coins;Easy;Binary Search;false
456;132 Pattern;https://leetcode.com/problems/132-pattern;Medium;Binary Search;false
475;Heaters;https://leetcode.com/problems/heaters;Medium;Binary Search;false
483;Smallest Good Base;https://leetcode.com/problems/smallest-good-base;Hard;Binary Search;false
493;Reverse Pairs;https://leetcode.com/problems/reverse-pairs;Hard;Binary Search;false
