id;name;url;difficulty;category;is_premium
100;Same Tree;https://leetcode.com/problems/same-tree;Easy;Breadth First Search;false
101;Symmetric Tree;https://leetcode.com/problems/symmetric-tree;Easy;Breadth First Search;false
102;Binary Tree Level Order Traversal;https://leetcode.com/problems/binary-tree-level-order-traversal;Medium;Breadth First Search;false
103;Binary Tree Zigzag Level Order Traversal;https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal;Medium;Breadth First Search;false
104;Maximum Depth of Binary Tree;https://leetcode.com/problems/maximum-depth-of-binary-tree;Easy;Breadth First Search;false
107;Binary Tree Level Order Traversal II;https://leetcode.com/problems/binary-tree-level-order-traversal-ii;Medium;Breadth First Search;false
111;Minimum Depth of Binary Tree;https://leetcode.com/problems/minimum-depth-of-binary-tree;Easy;Breadth First Search;false
112;Path Sum;https://leetcode.com/problems/path-sum;Easy;Breadth First Search;false
116;Populating Next Right Pointers in Each Node;https://leetcode.com/problems/populating-next-right-pointers-in-each-node;Medium;Breadth First Search;false
117;Populating Next Right Pointers in Each Node II;https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii;Medium;Breadth First Search;false
126;Word Ladder II;https://leetcode.com/problems/word-ladder-ii;Hard;Breadth First Search;false
127;Word Ladder;https://leetcode.com/problems/word-ladder;Hard;Breadth First Search;false
130;Surrounded Regions;https://leetcode.com/problems/surrounded-regions;Medium;Breadth First Search;false
133;Clone Graph;https://leetcode.com/problems/clone-graph;Medium;Breadth First Search;false
199;Binary Tree Right Side View;https://leetcode.com/problems/binary-tree-right-side-view;Medium;Breadth First Search;false
200;Number of Islands;https://leetcode.com/problems/number-of-islands;Medium;Breadth First Search;false
207;Course Schedule;https://leetcode.com/problems/course-schedule;Medium;Breadth First Search;false
210;Course Schedule II;https://leetcode.com/problems/course-schedule-ii;Medium;Breadth First Search;false
226;Invert Binary Tree;https://leetcode.com/problems/invert-binary-tree;Easy;Breadth First Search;false
261;Graph Valid Tree;https://leetcode.com/problems/graph-valid-tree;Medium;Breadth First Search;true
269;Alien Dictionary;https://leetcode.com/problems/alien-dictionary;Hard;Breadth First Search;true
279;Perfect Squares;https://leetcode.com/problems/perfect-squares;Medium;Breadth First Search;false
286;Walls and Gates;https://leetcode.com/problems/walls-and-gates;Medium;Breadth First Search;true
297;Serialize and Deserialize Binary Tree;https://leetcode.com/problems/serialize-and-deserialize-binary-tree;Hard;Breadth First Search;false
301;Remove Invalid Parentheses;https://leetcode.com/problems/remove-invalid-parentheses;Hard;Breadth First Search;false
302;Smallest Rectangle Enclosing Black Pixels;https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels;Hard;Breadth First Search;true
310;Minimum Height Trees;https://leetcode.com/problems/minimum-height-trees;Medium;Breadth First Search;false
314;Binary Tree Vertical Order Traversal;https://leetcode.com/problems/binary-tree-vertical-order-traversal;Medium;Breadth First Search;true
317;Shortest Distance from All Buildings;https://leetcode.com/problems/shortest-distance-from-all-buildings;Hard;Breadth First Search;true
322;Coin Change;https://leetcode.com/problems/coin-change;Medium;Breadth First Search;false
323;Number of Connected Components in an Undirected Graph;https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph;Medium;Breadth First Search;true
329;Longest Increasing Path in a Matrix;https://leetcode.com/problems/longest-increasing-path-in-a-matrix;Hard;Breadth First Search;false
339;Nested List Weight Sum;https://leetcode.com/problems/nested-list-weight-sum;Medium;Breadth First Search;true
364;Nested List Weight Sum II;https://leetcode.com/problems/nested-list-weight-sum-ii;Medium;Breadth First Search;true
365;Water and Jug Problem;https://leetcode.com/problems/water-and-jug-problem;Medium;Breadth First Search;false
399;Evaluate Division;https://leetcode.com/problems/evaluate-division;Medium;Breadth First Search;false
404;Sum of Left Leaves;https://leetcode.com/problems/sum-of-left-leaves;Easy;Breadth First Search;false
407;Trapping Rain Water II;https://leetcode.com/problems/trapping-rain-water-ii;Hard;Breadth First Search;false
417;Pacific Atlantic Water Flow;https://leetcode.com/problems/pacific-atlantic-water-flow;Medium;Breadth First Search;false
428;Serialize and Deserialize N-ary Tree;https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree;Hard;Breadth First Search;true
429;N-ary Tree Level Order Traversal;https://leetcode.com/problems/n-ary-tree-level-order-traversal;Medium;Breadth First Search;false
431;Encode N-ary Tree to Binary Tree;https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree;Hard;Breadth First Search;true
433;Minimum Genetic Mutation;https://leetcode.com/problems/minimum-genetic-mutation;Medium;Breadth First Search;false
449;Serialize and Deserialize BST;https://leetcode.com/problems/serialize-and-deserialize-bst;Medium;Breadth First Search;false
463;Island Perimeter;https://leetcode.com/problems/island-perimeter;Easy;Breadth First Search;false
488;Zuma Game;https://leetcode.com/problems/zuma-game;Hard;Breadth First Search;false
490;The Maze;https://leetcode.com/problems/the-maze;Medium;Breadth First Search;true
499;The Maze III;https://leetcode.com/problems/the-maze-iii;Hard;Breadth First Search;true
505;The Maze II;https://leetcode.com/problems/the-maze-ii;Medium;Breadth First Search;true
513;Find Bottom Left Tree Value;https://leetcode.com/problems/find-bottom-left-tree-value;Medium;Breadth First Search;false
514;Freedom Trail;https://leetcode.com/problems/freedom-trail;Hard;Breadth First Search;false
515;Find Largest Value in Each Tree Row;https://leetcode.com/problems/find-largest-value-in-each-tree-row;Medium;Breadth First Search;false
529;Minesweeper;https://leetcode.com/problems/minesweeper;Medium;Breadth First Search;false
530;Minimum Absolute Difference in BST;https://leetcode.com/problems/minimum-absolute-difference-in-bst;Easy;Breadth First Search;false
542;01 Matrix;https://leetcode.com/problems/01-matrix;Medium;Breadth First Search;false
547;Number of Provinces;https://leetcode.com/problems/number-of-provinces;Medium;Breadth First Search;false
559;Maximum Depth of N-ary Tree;https://leetcode.com/problems/maximum-depth-of-n-ary-tree;Easy;Breadth First Search;false
582;Kill Process;https://leetcode.com/problems/kill-process;Medium;Breadth First Search;true
617;Merge Two Binary Trees;https://leetcode.com/problems/merge-two-binary-trees;Easy;Breadth First Search;false
623;Add One Row to Tree;https://leetcode.com/problems/add-one-row-to-tree;Medium;Breadth First Search;false
637;Average of Levels in Binary Tree;https://leetcode.com/problems/average-of-levels-in-binary-tree;Easy;Breadth First Search;false
653;Two Sum IV - Input is a BST;https://leetcode.com/problems/two-sum-iv-input-is-a-bst;Easy;Breadth First Search;false
655;Print Binary Tree;https://leetcode.com/problems/print-binary-tree;Medium;Breadth First Search;false
662;Maximum Width of Binary Tree;https://leetcode.com/problems/maximum-width-of-binary-tree;Medium;Breadth First Search;false
672;Bulb Switcher II;https://leetcode.com/problems/bulb-switcher-ii;Medium;Breadth First Search;false
675;Cut Off Trees for Golf Event;https://leetcode.com/problems/cut-off-trees-for-golf-event;Hard;Breadth First Search;false
