id;name;url;difficulty;category;is_premium
79;Word Search;https://leetcode.com/problems/word-search;Medium;Depth First Search;false
94;Binary Tree Inorder Traversal;https://leetcode.com/problems/binary-tree-inorder-traversal;Easy;Depth First Search;false
98;Validate Binary Search Tree;https://leetcode.com/problems/validate-binary-search-tree;Medium;Depth First Search;false
99;Recover Binary Search Tree;https://leetcode.com/problems/recover-binary-search-tree;Medium;Depth First Search;false
100;Same Tree;https://leetcode.com/problems/same-tree;Easy;Depth First Search;false
101;Symmetric Tree;https://leetcode.com/problems/symmetric-tree;Easy;Depth First Search;false
104;Maximum Depth of Binary Tree;https://leetcode.com/problems/maximum-depth-of-binary-tree;Easy;Depth First Search;false
110;Balanced Binary Tree;https://leetcode.com/problems/balanced-binary-tree;Easy;Depth First Search;false
111;Minimum Depth of Binary Tree;https://leetcode.com/problems/minimum-depth-of-binary-tree;Easy;Depth First Search;false
112;Path Sum;https://leetcode.com/problems/path-sum;Easy;Depth First Search;false
113;Path Sum II;https://leetcode.com/problems/path-sum-ii;Medium;Depth First Search;false
114;Flatten Binary Tree to Linked List;https://leetcode.com/problems/flatten-binary-tree-to-linked-list;Medium;Depth First Search;false
116;Populating Next Right Pointers in Each Node;https://leetcode.com/problems/populating-next-right-pointers-in-each-node;Medium;Depth First Search;false
117;Populating Next Right Pointers in Each Node II;https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii;Medium;Depth First Search;false
124;Binary Tree Maximum Path Sum;https://leetcode.com/problems/binary-tree-maximum-path-sum;Hard;Depth First Search;false
129;Sum Root to Leaf Numbers;https://leetcode.com/problems/sum-root-to-leaf-numbers;Medium;Depth First Search;false
130;Surrounded Regions;https://leetcode.com/problems/surrounded-regions;Medium;Depth First Search;false
133;Clone Graph;https://leetcode.com/problems/clone-graph;Medium;Depth First Search;false
144;Binary Tree Preorder Traversal;https://leetcode.com/problems/binary-tree-preorder-traversal;Easy;Depth First Search;false
145;Binary Tree Postorder Traversal;https://leetcode.com/problems/binary-tree-postorder-traversal;Easy;Depth First Search;false
156;Binary Tree Upside Down;https://leetcode.com/problems/binary-tree-upside-down;Medium;Depth First Search;true
199;Binary Tree Right Side View;https://leetcode.com/problems/binary-tree-right-side-view;Medium;Depth First Search;false
