id;name;url;difficulty;category;is_premium
5;Longest Palindromic Substring;https://leetcode.com/problems/longest-palindromic-substring;Medium;Dynamic Programming;false
10;Regular Expression Matching;https://leetcode.com/problems/regular-expression-matching;Hard;Dynamic Programming;false
22;Generate Parentheses;https://leetcode.com/problems/generate-parentheses;Medium;Dynamic Programming;false
32;Longest Valid Parentheses;https://leetcode.com/problems/longest-valid-parentheses;Hard;Dynamic Programming;false
42;Trapping Rain Water;https://leetcode.com/problems/trapping-rain-water;Hard;Dynamic Programming;false
44;Wildcard Matching;https://leetcode.com/problems/wildcard-matching;Hard;Dynamic Programming;false
45;Jump Game II;https://leetcode.com/problems/jump-game-ii;Medium;Dynamic Programming;false
53;Maximum Subarray;https://leetcode.com/problems/maximum-subarray;Medium;Dynamic Programming;false
55;Jump Game;https://leetcode.com/problems/jump-game;Medium;Dynamic Programming;false
62;Unique Paths;https://leetcode.com/problems/unique-paths;Medium;Dynamic Programming;false
63;Unique Paths II;https://leetcode.com/problems/unique-paths-ii;Medium;Dynamic Programming;false
64;Minimum Path Sum;https://leetcode.com/problems/minimum-path-sum;Medium;Dynamic Programming;false
70;Climbing Stairs;https://leetcode.com/problems/climbing-stairs;Easy;Dynamic Programming;false
72;Edit Distance;https://leetcode.com/problems/edit-distance;Medium;Dynamic Programming;false
85;Maximal Rectangle;https://leetcode.com/problems/maximal-rectangle;Hard;Dynamic Programming;false
87;Scramble String;https://leetcode.com/problems/scramble-string;Hard;Dynamic Programming;false
91;Decode Ways;https://leetcode.com/problems/decode-ways;Medium;Dynamic Programming;false
95;Unique Binary Search Trees II;https://leetcode.com/problems/unique-binary-search-trees-ii;Medium;Dynamic Programming;false
96;Unique Binary Search Trees;https://leetcode.com/problems/unique-binary-search-trees;Medium;Dynamic Programming;false
97;Interleaving String;https://leetcode.com/problems/interleaving-string;Medium;Dynamic Programming;false
115;Distinct Subsequences;https://leetcode.com/problems/distinct-subsequences;Hard;Dynamic Programming;false
118;Pascal's Triangle;https://leetcode.com/problems/pascals-triangle;Easy;Dynamic Programming;false
119;Pascal's Triangle II;https://leetcode.com/problems/pascals-triangle-ii;Easy;Dynamic Programming;false
120;Triangle;https://leetcode.com/problems/triangle;Medium;Dynamic Programming;false
121;Best Time to Buy and Sell Stock;https://leetcode.com/problems/best-time-to-buy-and-sell-stock;Easy;Dynamic Programming;false
