id;name;url;difficulty;category;is_premium
11;Container With Most Water;https://leetcode.com/problems/container-with-most-water;Medium;Greedy;false
44;Wildcard Matching;https://leetcode.com/problems/wildcard-matching;Hard;Greedy;false
45;Jump Game II;https://leetcode.com/problems/jump-game-ii;Medium;Greedy;false
55;Jump Game;https://leetcode.com/problems/jump-game;Medium;Greedy;false
122;Best Time to Buy and Sell Stock II;https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii;Medium;Greedy;false
134;Gas Station;https://leetcode.com/problems/gas-station;Medium;Greedy;false
135;Candy;https://leetcode.com/problems/candy;Hard;Greedy;false
179;Largest Number;https://leetcode.com/problems/largest-number;Medium;Greedy;false
253;Meeting Rooms II;https://leetcode.com/problems/meeting-rooms-ii;Medium;Greedy;true
280;Wiggle Sort;https://leetcode.com/problems/wiggle-sort;Medium;Greedy;true
316;Remove Duplicate Letters;https://leetcode.com/problems/remove-duplicate-letters;Medium;Greedy;false
321;Create Maximum Number;https://leetcode.com/problems/create-maximum-number;Hard;Greedy;false
324;Wiggle Sort II;https://leetcode.com/problems/wiggle-sort-ii;Medium;Greedy;false
330;Patching Array;https://leetcode.com/problems/patching-array;Hard;Greedy;false
334;Increasing Triplet Subsequence;https://leetcode.com/problems/increasing-triplet-subsequence;Medium;Greedy;false
358;Rearrange String k Distance Apart;https://leetcode.com/problems/rearrange-string-k-distance-apart;Hard;Greedy;true
376;Wiggle Subsequence;https://leetcode.com/problems/wiggle-subsequence;Medium;Greedy;false
397;Integer Replacement;https://leetcode.com/problems/integer-replacement;Medium;Greedy;false
402;Remove K Digits;https://leetcode.com/problems/remove-k-digits;Medium;Greedy;false
409;Longest Palindrome;https://leetcode.com/problems/longest-palindrome;Easy;Greedy;false
410;Split Array Largest Sum;https://leetcode.com/problems/split-array-largest-sum;Hard;Greedy;false
420;Strong Password Checker;https://leetcode.com/problems/strong-password-checker;Hard;Greedy;false
435;Non-overlapping Intervals;https://leetcode.com/problems/non-overlapping-intervals;Medium;Greedy;false
452;Minimum Number of Arrows to Burst Balloons;https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons;Medium;Greedy;false
455;Assign Cookies;https://leetcode.com/problems/assign-cookies;Easy;Greedy;false
484;Find Permutation;https://leetcode.com/problems/find-permutation;Medium;Greedy;true
502;IPO;https://leetcode.com/problems/ipo;Hard;Greedy;false
517;Super Washing Machines;https://leetcode.com/problems/super-washing-machines;Hard;Greedy;false
527;Word Abbreviation;https://leetcode.com/problems/word-abbreviation;Hard;Greedy;true
555;Split Concatenated Strings;https://leetcode.com/problems/split-concatenated-strings;Medium;Greedy;true
561;Array Partition;https://leetcode.com/problems/array-partition;Easy;Greedy;false
