id;name;url;difficulty;category;is_premium
1;Two Sum;https://leetcode.com/problems/two-sum;Easy;Hash Table;false
3;Longest Substring Without Repeating Characters;https://leetcode.com/problems/longest-substring-without-repeating-characters;Medium;Hash Table;false
12;Integer to Roman;https://leetcode.com/problems/integer-to-roman;Medium;Hash Table;false
13;Roman to Integer;https://leetcode.com/problems/roman-to-integer;Easy;Hash Table;false
17;Letter Combinations of a Phone Number;https://leetcode.com/problems/letter-combinations-of-a-phone-number;Medium;Hash Table;false
30;Substring with Concatenation of All Words;https://leetcode.com/problems/substring-with-concatenation-of-all-words;Hard;Hash Table;false
36;Valid Sudoku;https://leetcode.com/problems/valid-sudoku;Medium;Hash Table;false
37;Sudoku Solver;https://leetcode.com/problems/sudoku-solver;Hard;Hash Table;false
41;First Missing Positive;https://leetcode.com/problems/first-missing-positive;Hard;Hash Table;false
49;Group Anagrams;https://leetcode.com/problems/group-anagrams;Medium;Hash Table;false
73;Set Matrix Zeroes;https://leetcode.com/problems/set-matrix-zeroes;Medium;Hash Table;false
76;Minimum Window Substring;https://leetcode.com/problems/minimum-window-substring;Hard;Hash Table;false
105;Construct Binary Tree from Preorder and Inorder Traversal;https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal;Medium;Hash Table;false
106;Construct Binary Tree from Inorder and Postorder Traversal;https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal;Medium;Hash Table;false
126;Word Ladder II;https://leetcode.com/problems/word-ladder-ii;Hard;Hash Table;false
127;Word Ladder;https://leetcode.com/problems/word-ladder;Hard;Hash Table;false
128;Longest Consecutive Sequence;https://leetcode.com/problems/longest-consecutive-sequence;Medium;Hash Table;false
133;Clone Graph;https://leetcode.com/problems/clone-graph;Medium;Hash Table;false
138;Copy List with Random Pointer;https://leetcode.com/problems/copy-list-with-random-pointer;Medium;Hash Table;false
139;Word Break;https://leetcode.com/problems/word-break;Medium;Hash Table;false
140;Word Break II;https://leetcode.com/problems/word-break-ii;Hard;Hash Table;false
141;Linked List Cycle;https://leetcode.com/problems/linked-list-cycle;Easy;Hash Table;false
142;Linked List Cycle II;https://leetcode.com/problems/linked-list-cycle-ii;Medium;Hash Table;false
146;LRU Cache;https://leetcode.com/problems/lru-cache;Medium;Hash Table;false
149;Max Points on a Line;https://leetcode.com/problems/max-points-on-a-line;Hard;Hash Table;false
159;Longest Substring with At Most Two Distinct Characters;https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters;Medium;Hash Table;true
160;Intersection of Two Linked Lists;https://leetcode.com/problems/intersection-of-two-linked-lists;Easy;Hash Table;false
166;Fraction to Recurring Decimal;https://leetcode.com/problems/fraction-to-recurring-decimal;Medium;Hash Table;false
169;Majority Element;https://leetcode.com/problems/majority-element;Easy;Hash Table;false
170;Two Sum III - Data structure design;https://leetcode.com/problems/two-sum-iii-data-structure-design;Easy;Hash Table;true
187;Repeated DNA Sequences;https://leetcode.com/problems/repeated-dna-sequences;Medium;Hash Table;false
202;Happy Number;https://leetcode.com/problems/happy-number;Easy;Hash Table;false
205;Isomorphic Strings;https://leetcode.com/problems/isomorphic-strings;Easy;Hash Table;false
208;Implement Trie (Prefix Tree);https://leetcode.com/problems/implement-trie-prefix-tree;Medium;Hash Table;false
217;Contains Duplicate;https://leetcode.com/problems/contains-duplicate;Easy;Hash Table;false
219;Contains Duplicate II;https://leetcode.com/problems/contains-duplicate-ii;Easy;Hash Table;false
229;Majority Element II;https://leetcode.com/problems/majority-element-ii;Medium;Hash Table;false
242;Valid Anagram;https://leetcode.com/problems/valid-anagram;Easy;Hash Table;false
244;Shortest Word Distance II;https://leetcode.com/problems/shortest-word-distance-ii;Medium;Hash Table;true
246;Strobogrammatic Number;https://leetcode.com/problems/strobogrammatic-number;Easy;Hash Table;true
249;Group Shifted Strings;https://leetcode.com/problems/group-shifted-strings;Medium;Hash Table;true
264;Ugly Number II;https://leetcode.com/problems/ugly-number-ii;Medium;Hash Table;false
266;Palindrome Permutation;https://leetcode.com/problems/palindrome-permutation;Easy;Hash Table;true
267;Palindrome Permutation II;https://leetcode.com/problems/palindrome-permutation-ii;Medium;Hash Table;true
