id;name;url;difficulty;category;is_premium
23;Merge k Sorted Lists;https://leetcode.com/problems/merge-k-sorted-lists;Hard;Heap Priority Queue;false
215;Kth Largest Element in an Array;https://leetcode.com/problems/kth-largest-element-in-an-array;Medium;Heap Priority Queue;false
218;The Skyline Problem;https://leetcode.com/problems/the-skyline-problem;Hard;Heap Priority Queue;false
239;Sliding Window Maximum;https://leetcode.com/problems/sliding-window-maximum;Hard;Heap Priority Queue;false
253;Meeting Rooms II;https://leetcode.com/problems/meeting-rooms-ii;Medium;Heap Priority Queue;true
264;Ugly Number II;https://leetcode.com/problems/ugly-number-ii;Medium;Heap Priority Queue;false
272;Closest Binary Search Tree Value II;https://leetcode.com/problems/closest-binary-search-tree-value-ii;Hard;Heap Priority Queue;true
295;Find Median from Data Stream;https://leetcode.com/problems/find-median-from-data-stream;Hard;Heap Priority Queue;false
347;Top K Frequent Elements;https://leetcode.com/problems/top-k-frequent-elements;Medium;Heap Priority Queue;false
355;Design Twitter;https://leetcode.com/problems/design-twitter;Medium;Heap Priority Queue;false
358;Rearrange String k Distance Apart;https://leetcode.com/problems/rearrange-string-k-distance-apart;Hard;Heap Priority Queue;true
373;Find K Pairs with Smallest Sums;https://leetcode.com/problems/find-k-pairs-with-smallest-sums;Medium;Heap Priority Queue;false
378;Kth Smallest Element in a Sorted Matrix;https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix;Medium;Heap Priority Queue;false
407;Trapping Rain Water II;https://leetcode.com/problems/trapping-rain-water-ii;Hard;Heap Priority Queue;false
420;Strong Password Checker;https://leetcode.com/problems/strong-password-checker;Hard;Heap Priority Queue;false
451;Sort Characters By Frequency;https://leetcode.com/problems/sort-characters-by-frequency;Medium;Heap Priority Queue;false
480;Sliding Window Median;https://leetcode.com/problems/sliding-window-median;Hard;Heap Priority Queue;false
499;The Maze III;https://leetcode.com/problems/the-maze-iii;Hard;Heap Priority Queue;true
502;IPO;https://leetcode.com/problems/ipo;Hard;Heap Priority Queue;false
505;The Maze II;https://leetcode.com/problems/the-maze-ii;Medium;Heap Priority Queue;true
506;Relative Ranks;https://leetcode.com/problems/relative-ranks;Easy;Heap Priority Queue;false
621;Task Scheduler;https://leetcode.com/problems/task-scheduler;Medium;Heap Priority Queue;false
630;Course Schedule III;https://leetcode.com/problems/course-schedule-iii;Hard;Heap Priority Queue;false
632;Smallest Range Covering Elements from K Lists;https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists;Hard;Heap Priority Queue;false
642;Design Search Autocomplete System;https://leetcode.com/problems/design-search-autocomplete-system;Hard;Heap Priority Queue;true
658;Find K Closest Elements;https://leetcode.com/problems/find-k-closest-elements;Medium;Heap Priority Queue;false
659;Split Array into Consecutive Subsequences;https://leetcode.com/problems/split-array-into-consecutive-subsequences;Medium;Heap Priority Queue;false
675;Cut Off Trees for Golf Event;https://leetcode.com/problems/cut-off-trees-for-golf-event;Hard;Heap Priority Queue;false
683;K Empty Slots;https://leetcode.com/problems/k-empty-slots;Hard;Heap Priority Queue;true
692;Top K Frequent Words;https://leetcode.com/problems/top-k-frequent-words;Medium;Heap Priority Queue;false
703;Kth Largest Element in a Stream;https://leetcode.com/problems/kth-largest-element-in-a-stream;Easy;Heap Priority Queue;false
743;Network Delay Time;https://leetcode.com/problems/network-delay-time;Medium;Heap Priority Queue;false
759;Employee Free Time;https://leetcode.com/problems/employee-free-time;Hard;Heap Priority Queue;true
767;Reorganize String;https://leetcode.com/problems/reorganize-string;Medium;Heap Priority Queue;false
778;Swim in Rising Water;https://leetcode.com/problems/swim-in-rising-water;Hard;Heap Priority Queue;false
786;K-th Smallest Prime Fraction;https://leetcode.com/problems/k-th-smallest-prime-fraction;Medium;Heap Priority Queue;false
787;Cheapest Flights Within K Stops;https://leetcode.com/problems/cheapest-flights-within-k-stops;Medium;Heap Priority Queue;false
855;Exam Room;https://leetcode.com/problems/exam-room;Medium;Heap Priority Queue;false
857;Minimum Cost to Hire K Workers;https://leetcode.com/problems/minimum-cost-to-hire-k-workers;Hard;Heap Priority Queue;false
862;Shortest Subarray with Sum at Least K;https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k;Hard;Heap Priority Queue;false
871;Minimum Number of Refueling Stops;https://leetcode.com/problems/minimum-number-of-refueling-stops;Hard;Heap Priority Queue;false
882;Reachable Nodes In Subdivided Graph;https://leetcode.com/problems/reachable-nodes-in-subdivided-graph;Hard;Heap Priority Queue;false
912;Sort an Array;https://leetcode.com/problems/sort-an-array;Medium;Heap Priority Queue;false
973;K Closest Points to Origin;https://leetcode.com/problems/k-closest-points-to-origin;Medium;Heap Priority Queue;false
1046;Last Stone Weight;https://leetcode.com/problems/last-stone-weight;Easy;Heap Priority Queue;false
1054;Distant Barcodes;https://leetcode.com/problems/distant-barcodes;Medium;Heap Priority Queue;false
1057;Campus Bikes;https://leetcode.com/problems/campus-bikes;Medium;Heap Priority Queue;true
1086;High Five;https://leetcode.com/problems/high-five;Easy;Heap Priority Queue;true
1094;Car Pooling;https://leetcode.com/problems/car-pooling;Medium;Heap Priority Queue;false
1102;Path With Maximum Minimum Value;https://leetcode.com/problems/path-with-maximum-minimum-value;Medium;Heap Priority Queue;true
1135;Connecting Cities With Minimum Cost;https://leetcode.com/problems/connecting-cities-with-minimum-cost;Medium;Heap Priority Queue;true
1167;Minimum Cost to Connect Sticks;https://leetcode.com/problems/minimum-cost-to-connect-sticks;Medium;Heap Priority Queue;true
1168;Optimize Water Distribution in a Village;https://leetcode.com/problems/optimize-water-distribution-in-a-village;Hard;Heap Priority Queue;true
1172;Dinner Plate Stacks;https://leetcode.com/problems/dinner-plate-stacks;Hard;Heap Priority Queue;false
1183;Maximum Number of Ones;https://leetcode.com/problems/maximum-number-of-ones;Hard;Heap Priority Queue;true
1199;Minimum Time to Build Blocks;https://leetcode.com/problems/minimum-time-to-build-blocks;Hard;Heap Priority Queue;true
1263;Minimum Moves to Move a Box to Their Target Location;https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location;Hard;Heap Priority Queue;false
1268;Search Suggestions System;https://leetcode.com/problems/search-suggestions-system;Medium;Heap Priority Queue;false
1337;The K Weakest Rows in a Matrix;https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix;Easy;Heap Priority Queue;false
1338;Reduce Array Size to The Half;https://leetcode.com/problems/reduce-array-size-to-the-half;Medium;Heap Priority Queue;false
1353;Maximum Number of Events That Can Be Attended;https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended;Medium;Heap Priority Queue;false
1354;Construct Target Array With Multiple Sums;https://leetcode.com/problems/construct-target-array-with-multiple-sums;Hard;Heap Priority Queue;false
1368;Minimum Cost to Make at Least One Valid Path in a Grid;https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid;Hard;Heap Priority Queue;false
