id;name;url;difficulty;category;is_premium
36;Valid Sudoku;https://leetcode.com/problems/valid-sudoku;Medium;Matrix;false
37;Sudoku Solver;https://leetcode.com/problems/sudoku-solver;Hard;Matrix;false
48;Rotate Image;https://leetcode.com/problems/rotate-image;Medium;Matrix;false
54;Spiral Matrix;https://leetcode.com/problems/spiral-matrix;Medium;Matrix;false
59;Spiral Matrix II;https://leetcode.com/problems/spiral-matrix-ii;Medium;Matrix;false
63;Unique Paths II;https://leetcode.com/problems/unique-paths-ii;Medium;Matrix;false
64;Minimum Path Sum;https://leetcode.com/problems/minimum-path-sum;Medium;Matrix;false
73;Set Matrix Zeroes;https://leetcode.com/problems/set-matrix-zeroes;Medium;Matrix;false
74;Search a 2D Matrix;https://leetcode.com/problems/search-a-2d-matrix;Medium;Matrix;false
79;Word Search;https://leetcode.com/problems/word-search;Medium;Matrix;false
85;Maximal Rectangle;https://leetcode.com/problems/maximal-rectangle;Hard;Matrix;false
130;Surrounded Regions;https://leetcode.com/problems/surrounded-regions;Medium;Matrix;false
174;Dungeon Game;https://leetcode.com/problems/dungeon-game;Hard;Matrix;false
200;Number of Islands;https://leetcode.com/problems/number-of-islands;Medium;Matrix;false
212;Word Search II;https://leetcode.com/problems/word-search-ii;Hard;Matrix;false
221;Maximal Square;https://leetcode.com/problems/maximal-square;Medium;Matrix;false
240;Search a 2D Matrix II;https://leetcode.com/problems/search-a-2d-matrix-ii;Medium;Matrix;false
286;Walls and Gates;https://leetcode.com/problems/walls-and-gates;Medium;Matrix;true
289;Game of Life;https://leetcode.com/problems/game-of-life;Medium;Matrix;false
296;Best Meeting Point;https://leetcode.com/problems/best-meeting-point;Hard;Matrix;true
302;Smallest Rectangle Enclosing Black Pixels;https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels;Hard;Matrix;true
304;Range Sum Query 2D - Immutable;https://leetcode.com/problems/range-sum-query-2d-immutable;Medium;Matrix;false
308;Range Sum Query 2D - Mutable;https://leetcode.com/problems/range-sum-query-2d-mutable;Medium;Matrix;true
311;Sparse Matrix Multiplication;https://leetcode.com/problems/sparse-matrix-multiplication;Medium;Matrix;true
317;Shortest Distance from All Buildings;https://leetcode.com/problems/shortest-distance-from-all-buildings;Hard;Matrix;true
329;Longest Increasing Path in a Matrix;https://leetcode.com/problems/longest-increasing-path-in-a-matrix;Hard;Matrix;false
348;Design Tic-Tac-Toe;https://leetcode.com/problems/design-tic-tac-toe;Medium;Matrix;true
361;Bomb Enemy;https://leetcode.com/problems/bomb-enemy;Medium;Matrix;true
363;Max Sum of Rectangle No Larger Than K;https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k;Hard;Matrix;false
378;Kth Smallest Element in a Sorted Matrix;https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix;Medium;Matrix;false
407;Trapping Rain Water II;https://leetcode.com/problems/trapping-rain-water-ii;Hard;Matrix;false
417;Pacific Atlantic Water Flow;https://leetcode.com/problems/pacific-atlantic-water-flow;Medium;Matrix;false
419;Battleships in a Board;https://leetcode.com/problems/battleships-in-a-board;Medium;Matrix;false
422;Valid Word Square;https://leetcode.com/problems/valid-word-square;Easy;Matrix;true
427;Construct Quad Tree;https://leetcode.com/problems/construct-quad-tree;Medium;Matrix;false
463;Island Perimeter;https://leetcode.com/problems/island-perimeter;Easy;Matrix;false
490;The Maze;https://leetcode.com/problems/the-maze;Medium;Matrix;true
498;Diagonal Traverse;https://leetcode.com/problems/diagonal-traverse;Medium;Matrix;false
499;The Maze III;https://leetcode.com/problems/the-maze-iii;Hard;Matrix;true
505;The Maze II;https://leetcode.com/problems/the-maze-ii;Medium;Matrix;true
529;Minesweeper;https://leetcode.com/problems/minesweeper;Medium;Matrix;false
531;Lonely Pixel I;https://leetcode.com/problems/lonely-pixel-i;Medium;Matrix;true
533;Lonely Pixel II;https://leetcode.com/problems/lonely-pixel-ii;Medium;Matrix;true
542;01 Matrix;https://leetcode.com/problems/01-matrix;Medium;Matrix;false
562;Longest Line of Consecutive One in Matrix;https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix;Medium;Matrix;true
566;Reshape the Matrix;https://leetcode.com/problems/reshape-the-matrix;Easy;Matrix;false
568;Maximum Vacation Days;https://leetcode.com/problems/maximum-vacation-days;Hard;Matrix;true
631;Design Excel Sum Formula;https://leetcode.com/problems/design-excel-sum-formula;Hard;Matrix;true
661;Image Smoother;https://leetcode.com/problems/image-smoother;Easy;Matrix;false
675;Cut Off Trees for Golf Event;https://leetcode.com/problems/cut-off-trees-for-golf-event;Hard;Matrix;false
695;Max Area of Island;https://leetcode.com/problems/max-area-of-island;Medium;Matrix;false
723;Candy Crush;https://leetcode.com/problems/candy-crush;Medium;Matrix;true
733;Flood Fill;https://leetcode.com/problems/flood-fill;Easy;Matrix;false
741;Cherry Pickup;https://leetcode.com/problems/cherry-pickup;Hard;Matrix;false
749;Contain Virus;https://leetcode.com/problems/contain-virus;Hard;Matrix;false
750;Number Of Corner Rectangles;https://leetcode.com/problems/number-of-corner-rectangles;Medium;Matrix;true
766;Toeplitz Matrix;https://leetcode.com/problems/toeplitz-matrix;Easy;Matrix;false
773;Sliding Puzzle;https://leetcode.com/problems/sliding-puzzle;Hard;Matrix;false
778;Swim in Rising Water;https://leetcode.com/problems/swim-in-rising-water;Hard;Matrix;false
782;Transform to Chessboard;https://leetcode.com/problems/transform-to-chessboard;Hard;Matrix;false
794;Valid Tic-Tac-Toe State;https://leetcode.com/problems/valid-tic-tac-toe-state;Medium;Matrix;false
803;Bricks Falling When Hit;https://leetcode.com/problems/bricks-falling-when-hit;Hard;Matrix;false
807;Max Increase to Keep City Skyline;https://leetcode.com/problems/max-increase-to-keep-city-skyline;Medium;Matrix;false
827;Making A Large Island;https://leetcode.com/problems/making-a-large-island;Hard;Matrix;false
832;Flipping an Image;https://leetcode.com/problems/flipping-an-image;Easy;Matrix;false
