id;name;url;difficulty;category;is_premium
225;Implement Stack using Queues;https://leetcode.com/problems/implement-stack-using-queues;Easy;Queue;false
232;Implement Queue using Stacks;https://leetcode.com/problems/implement-queue-using-stacks;Easy;Queue;false
239;Sliding Window Maximum;https://leetcode.com/problems/sliding-window-maximum;Hard;Queue;false
281;Zigzag Iterator;https://leetcode.com/problems/zigzag-iterator;Medium;Queue;true
341;Flatten Nested List Iterator;https://leetcode.com/problems/flatten-nested-list-iterator;Medium;Queue;false
346;Moving Average from Data Stream;https://leetcode.com/problems/moving-average-from-data-stream;Easy;Queue;true
353;Design Snake Game;https://leetcode.com/problems/design-snake-game;Medium;Queue;true
362;Design Hit Counter;https://leetcode.com/problems/design-hit-counter;Medium;Queue;true
379;Design Phone Directory;https://leetcode.com/problems/design-phone-directory;Medium;Queue;true
387;First Unique Character in a String;https://leetcode.com/problems/first-unique-character-in-a-string;Easy;Queue;false
622;Design Circular Queue;https://leetcode.com/problems/design-circular-queue;Medium;Queue;false
641;Design Circular Deque;https://leetcode.com/problems/design-circular-deque;Medium;Queue;false
649;Dota2 Senate;https://leetcode.com/problems/dota2-senate;Medium;Queue;false
683;K Empty Slots;https://leetcode.com/problems/k-empty-slots;Hard;Queue;true
862;Shortest Subarray with Sum at Least K;https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k;Hard;Queue;false
918;Maximum Sum Circular Subarray;https://leetcode.com/problems/maximum-sum-circular-subarray;Medium;Queue;false
933;Number of Recent Calls;https://leetcode.com/problems/number-of-recent-calls;Easy;Queue;false
936;Stamping The Sequence;https://leetcode.com/problems/stamping-the-sequence;Hard;Queue;false
950;Reveal Cards In Increasing Order;https://leetcode.com/problems/reveal-cards-in-increasing-order;Medium;Queue;false
995;Minimum Number of K Consecutive Bit Flips;https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips;Hard;Queue;false
1425;Constrained Subsequence Sum;https://leetcode.com/problems/constrained-subsequence-sum;Hard;Queue;false
1429;First Unique Number;https://leetcode.com/problems/first-unique-number;Medium;Queue;true
1438;Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit;https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit;Medium;Queue;false
1499;Max Value of Equation;https://leetcode.com/problems/max-value-of-equation;Hard;Queue;false
1670;Design Front Middle Back Queue;https://leetcode.com/problems/design-front-middle-back-queue;Medium;Queue;false
1687;Delivering Boxes from Storage to Ports;https://leetcode.com/problems/delivering-boxes-from-storage-to-ports;Hard;Queue;false
1696;Jump Game VI;https://leetcode.com/problems/jump-game-vi;Medium;Queue;false
1700;Number of Students Unable to Eat Lunch;https://leetcode.com/problems/number-of-students-unable-to-eat-lunch;Easy;Queue;false
1823;Find the Winner of the Circular Game;https://leetcode.com/problems/find-the-winner-of-the-circular-game;Medium;Queue;false
1825;Finding MK Average;https://leetcode.com/problems/finding-mk-average;Hard;Queue;false
2071;Maximum Number of Tasks You Can Assign;https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign;Hard;Queue;false
2073;Time Needed to Buy Tickets;https://leetcode.com/problems/time-needed-to-buy-tickets;Easy;Queue;false
2327;Number of People Aware of a Secret;https://leetcode.com/problems/number-of-people-aware-of-a-secret;Medium;Queue;false
2398;Maximum Number of Robots Within Budget;https://leetcode.com/problems/maximum-number-of-robots-within-budget;Hard;Queue;false
2407;Longest Increasing Subsequence II;https://leetcode.com/problems/longest-increasing-subsequence-ii;Hard;Queue;false
2444;Count Subarrays With Fixed Bounds;https://leetcode.com/problems/count-subarrays-with-fixed-bounds;Hard;Queue;false
2526;Find Consecutive Integers from a Data Stream;https://leetcode.com/problems/find-consecutive-integers-from-a-data-stream;Medium;Queue;false
2528;Maximize the Minimum Powered City;https://leetcode.com/problems/maximize-the-minimum-powered-city;Hard;Queue;false
2534;Time Taken to Cross the Door;https://leetcode.com/problems/time-taken-to-cross-the-door;Hard;Queue;true
2762;Continuous Subarrays;https://leetcode.com/problems/continuous-subarrays;Medium;Queue;false
2944;Minimum Number of Coins for Fruits;https://leetcode.com/problems/minimum-number-of-coins-for-fruits;Medium;Queue;false
2945;Find Maximum Non-decreasing Array Length;https://leetcode.com/problems/find-maximum-non-decreasing-array-length;Hard;Queue;false
2969;Minimum Number of Coins for Fruits II;https://leetcode.com/problems/minimum-number-of-coins-for-fruits-ii;Hard;Queue;true
3117;Minimum Sum of Values by Dividing Array;https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array;Hard;Queue;false
3191;Minimum Operations to Make Binary Array Elements Equal to One I;https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-i;Medium;Queue;false
3369;Design an Array Statistics Tracker;https://leetcode.com/problems/design-an-array-statistics-tracker;Hard;Queue;true
3420;Count Non-Decreasing Subarrays After K Operations;https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations;Hard;Queue;false
3508;Implement Router;https://leetcode.com/problems/implement-router;Medium;Queue;false
3578;Count Partitions With Max-Min Difference at Most K;https://leetcode.com/problems/count-partitions-with-max-min-difference-at-most-k;Medium;Queue;false
3589;Count Prime-Gap Balanced Subarrays;https://leetcode.com/problems/count-prime-gap-balanced-subarrays;Medium;Queue;false
